cellId,ÉÏÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÏÂÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÊÇ·ñÎªµÀÂ·Ð¡Çø
460-00-703691-13,1.172119141,5.357299805,·ñ
460-00-718891-12,84.26147461,1225.463867,·ñ
460-00-718525-11,0,0,·ñ
460-00-704677-12,158.4121094,1283.013062,·ñ
460-00-661432-12,82.22619629,711.7280273,·ñ
460-00-708456-21,67.90722656,235.2756348,·ñ
460-00-719044-12,39.23010254,424.2766113,·ñ
460-00-704544-21,137.571167,560.5678711,·ñ
460-00-203332-131,0,0,·ñ
460-00-703790-12,55.92260742,447.4876709,·ñ
460-00-661605-121,600.3181152,6853.272705,·ñ
460-00-708549-21,21.6887207,144.7391357,·ñ
460-00-661547-13,80.66101074,1043.045654,·ñ
460-00-661638-112,12.91955566,103.4847412,·ñ
460-00-661571-13,179.52771,1238.727661,·ñ
460-00-661647-13,61.06115723,496.3571777,·ñ
460-00-661381-13,154.3587646,2089.663818,·ñ
460-00-703900-13,170.8039551,1749.169922,·ñ
460-00-661587-11,89.01208496,911.560791,·ñ
460-00-661411-11,197.3251953,2894.348633,·ñ
460-00-661256-113,237.5585938,2206.135498,·ñ
460-00-718726-21,721.5919189,30822.99585,·ñ
460-00-703910-12,174.1868896,1420.236328,·ñ
460-00-661371-11,192.3909912,2068.525024,·ñ
460-00-718450-12,78.22290039,1445.995728,·ñ
460-00-708481-21,49.8137207,301.4309082,·ñ
460-00-704675-12,9.375,116.9073486,·ñ
460-00-203517-133,0,0,·ñ
460-00-718674-11,225.4549561,2463.162476,·ñ
460-00-661446-12,73.56970215,630.0441895,·ñ
460-00-718595-13,27.59411621,234.104126,·ñ
460-00-708595-1,332.6023027,1912.965965,·ñ
460-00-203479-132,0,0,·ñ
460-00-203027-131,15.72241211,200.6763916,·ñ
460-00-661727-12,203.5776367,1379.469971,·ñ
460-00-703649-11,84.33935547,772.699585,·ñ
460-00-661668-11,6.763671875,81.41760254,·ñ
460-00-703562-11,246.6378174,813.1118164,·ñ
460-00-718451-13,183.2058105,4249.020264,·ñ
460-00-718753-21,75.7746582,142.0463867,·ñ
460-00-661670-13,88.5098877,1047.317017,·ñ
460-00-718653-11,0,0,·ñ
460-00-661695-11,294.6280518,2007.767456,·ñ
460-00-203054-133,3471.481201,34662.14771,ÊÇ
460-00-718459-12,121.8375244,1369.731567,·ñ
460-00-708535-21,42.9942627,210.1657715,·ñ
460-00-703848-12,26.66113281,101.6092529,·ñ
460-00-718641-11,46.03881836,360.3062744,·ñ
460-00-661438-11,418.6346436,15416.78455,·ñ
460-00-703838-11,288.7357178,3534.332031,·ñ
460-00-718556-12,48.69812012,492.8054199,·ñ
460-00-718601-13,56.41992188,390.7463379,·ñ
460-00-708559-22,94.98156738,1161.269775,·ñ
460-00-703992-21,113.9364014,1123.640137,·ñ
460-00-661488-12,156.3220215,1702.850952,·ñ
460-00-718526-11,147.8618164,1389.949829,·ñ
460-00-203046-131,1620.299072,14760.95691,ÊÇ
460-00-203029-132,0,0,ÊÇ
460-00-718662-13,125.0690918,586.1165771,·ñ
460-00-703640-12,728.5548096,7185.522095,·ñ
460-00-661574-111,47.96777344,326.7030029,·ñ
460-00-661611-121,31.44543457,299.4644775,·ñ
460-00-703918-13,44.77905273,511.5592041,·ñ
460-00-661376-11,255.5445557,2168.890381,·ñ
460-00-661664-11,16.93212891,166.4378662,·ñ
460-00-661364-11,37.61499023,299.607666,·ñ
460-00-703563-13,652.1726074,3416.174316,·ñ
460-00-708531-13,208.4058838,2333.940308,·ñ
460-00-203020-131,1654.732422,19691.79102,·ñ
460-00-661575-13,168.5969238,961.7280273,·ñ
460-00-718445-12,111.8100586,1027.418823,·ñ
460-00-718612-12,41.96118164,295.3039551,·ñ
460-00-703858-12,16.57397461,136.6757813,·ñ
460-00-703498-12,577.8985596,5069.574829,·ñ
460-00-661317-13,685.2911377,8740.838013,·ñ
460-00-718832-21,743.2191162,5369.586548,·ñ
460-00-703919-12,34.40820313,149.946167,·ñ
460-00-703618-11,357.6704102,2793.596802,·ñ
460-00-704729-21,11.06689453,137.0491943,·ñ
460-00-703613-11,40.80419922,349.4658203,·ñ
460-00-661538-11,209.4483643,2216.870605,·ñ
460-00-661463-12,168.4669189,1652.0177,·ñ
460-00-708581-1,148.0523281,1221.754656,·ñ
460-00-718696-21,240.3880615,638.0097656,·ñ
460-00-718577-11,17.90515137,76.33166504,·ñ
460-00-704555-11,64.21166992,380.4849854,·ñ
460-00-703725-12,85.70605469,1486.701782,·ñ
460-00-718747-21,118.1192627,804.7711182,·ñ
460-00-703896-12,59.99963379,690.5770264,·ñ
460-00-704752-21,6.00793457,36.54577637,·ñ
460-00-703540-11,63.85021973,658.892334,·ñ
460-00-704646-13,78.71118164,498.7010498,·ñ
460-00-718464-11,15.99536133,129.2718506,·ñ
460-00-703758-12,23.94812012,333.0362549,·ñ
460-00-661563-12,91.22741699,847.4082031,·ñ
460-00-718628-11,80.14489746,622.5004883,·ñ
460-00-203165-133,0,0,·ñ
460-00-719093-11,205.2823486,1412.065186,·ñ
460-00-661524-11,121.0058594,716.7182617,·ñ
460-00-703665-11,146.0643311,1167.528564,·ñ
460-00-661724-12,57.85510254,675.19104,·ñ
460-00-661618-22,2567.093506,35503.3905,·ñ
460-00-203048-131,74.72998047,526.5045166,ÊÇ
460-00-703851-13,75.7923584,1276.491943,·ñ
460-00-708558-22,162.1971436,1313.564819,·ñ
460-00-661480-11,34.74926758,235.3619385,·ñ
460-00-703907-12,50.11376953,506.9731445,·ñ
460-00-703942-12,142.5332031,1213.115601,·ñ
460-00-708565-1,457.3399844,4040.310503,·ñ
460-00-203028-133,0,0,·ñ
460-00-661648-12,259.9393311,2700.586548,·ñ
460-00-661594-21,35.30761719,471.8513184,·ñ
460-00-718866-21,38.42956543,227.3885498,·ñ
460-00-203060-131,601.2318115,4883.123657,ÊÇ
460-00-203335-131,0,0,ÊÇ
460-00-661251-12,136.3470459,914.7637939,·ñ
460-00-203314-132,0,0,·ñ
460-00-718570-13,70.22021484,453.5948486,·ñ
460-00-661254-112,138.2692871,1040.709473,·ñ
460-00-661465-11,8.747070313,75.27770996,·ñ
460-00-661313-13,344.118042,2127.145752,·ñ
460-00-661523-12,105.4504395,1150.936401,·ñ
460-00-703984-121,474.5534668,4418.694336,·ñ
460-00-661356-11,397.7110596,2757.09082,·ñ
460-00-718422-11,179.9509277,404.7730713,·ñ
460-00-718639-13,139.5648193,790.493042,·ñ
460-00-703543-12,13.70385742,118.6081543,·ñ
460-00-826903-132,25.55603027,171.5506592,·ñ
460-00-661527-11,249.1328125,2236.251587,·ñ
460-00-661566-11,97.16040039,859.3226318,·ñ
460-00-703645-12,13.88671875,88.53137207,·ñ
460-00-718953-11,54.04553223,414.8757324,·ñ
460-00-718398-13,246.9973145,3223.38208,·ñ
460-00-703552-11,11.01647949,71.10583496,·ñ
460-00-661750-13,306.4841309,2967.982178,·ñ
460-00-703570-12,148.3973389,1279.726807,·ñ
460-00-703807-13,13.23669434,134.7828369,·ñ
460-00-661493-13,329.4785156,2609.582031,·ñ
460-00-703891-11,25.63916016,254.7056885,·ñ
460-00-718603-11,48.47900391,1206.577148,·ñ
460-00-661615-22,96.38085938,630.3380127,·ñ
460-00-661252-12,403.0830078,2988.119141,·ñ
